Profile_URL,Name,Type,Area,Sale Contact,Description,latlong,Property ID,Floor Area,Land Area,Energy,Parking,Building Type,Annual Return,Availability,Category,LastUpdated,GalleryImage,Agents,,,,,,,,,,
https://www.commercialrealestate.com.au/property/10-ultimo-place-marsden-park-nsw-2765-2016265850,10 Ultimo Place Marsden Park NSW 2765,"Factory, Warehouse & Industrial","2,245 m²","For Sale, Please contact agent","Prime Metro Sydney location | National tenants - secure 11 year leases | Excellent rental growth | Colliers International is delighted to offer for sale 10 Ultimo Place, Marsden Park via Expressions of Interest closing Thursday 18 June 2020 at 4:00PM AEST. | The subject property is situated within Sydneys North West Growth corridor. Marsden Park is very well located within this priority precinct and is one of Australias fastest growing regions. The trade centre has excellent exposure via a 77 metre (approx.) frontage to Richmond Road, with neighbouring businesses including Costco, Ikea, McDonalds, Aldi and Coles. The property at 10 Ultimo Place benefits from multi-directional access at the intersection of Harmony Avenue and Richmond Road, which links directly to the M7 Motorway. | Key features include: | Site area: 6,699 sqm* | Building area: 2,245 sqm* | Exposure to 40,000 cars daily | 50 on site car spaces | 11* year WALE | Leased to RSEA and Total Tools which expire February 2031 | Total net income: $761,000 per annum | 3.5% Annual Rental Increases | Tax advantages - full depreciation allowances available | Zoned B5 Business Development Blacktown City Council LEP 2015 | State Environmental Planning Policy (Sydney Region Growth Centres) 2006 | Outgoings: 100% payable by the lessee(s) on a proportionate basis | View more","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2016265850,"2,245 m²","6,699 m²",,50 x Onsite parkings,,Ask Agent,Vacant," Factory, Warehouse & Industrial",27-May-20,"https://res-3.cloudinary.com/cre/image/fetch/h_420,f_auto,c_fill,q_auto,d_placeholder_viubzx.png/https%3A%2F%2Fcre.domainstatic.com.au%2F2016265850_1_1_200518_070205-w1600-h1066 | https://res-3.cloudinary.com/cre/image/fetch/h_420,f_auto,c_fill,q_auto,d_placeholder_viubzx.png/https%3A%2F%2Fcre.domainstatic.com.au%2F2016265850_2_1_200518_070205-w1600-h1067 | https://res-3.cloudinary.com/cre/image/fetch/h_420,f_auto,c_fill,q_auto,d_placeholder_viubzx.png/https%3A%2F%2Fcre.domainstatic.com.au%2F2016265850_3_1_200518_070205-w1600-h1067 | https://res-3.cloudinary.com/cre/image/fetch/h_420,f_auto,c_fill,q_auto,d_placeholder_viubzx.png/https%3A%2F%2Fcre.domainstatic.com.au%2F2016265850_4_1_200518_070204-w1600-h1067 | https://res-3.cloudinary.com/cre/image/fetch/h_420,f_auto,c_fill,q_auto,d_placeholder_viubzx.png/https%3A%2F%2Fcre.domainstatic.com.au%2F2016265850_5_1_200518_070204-w1600-h1067 | ",[Paul McGlynn : + 61 418 413 490 : https://www.commercialrealestate.com.au/real-estate-agents/colliers-international-sydney-west-19837] | ,,,,,,,,,,
https://www.commercialrealestate.com.au/property/126-andrews-road-penrith-nsw-2750-2016139746,126 Andrews Road Penrith NSW 2750,"Factory, Warehouse & Industrial","8,956 m²","For Sale, Contact Agent","As exclusive selling agents, JLL in conjunction with Colliers International, has the pleasure in offering 126 Andrews Road, Penrith to the market. This land rich investment opportunity is leased to one of Australias most recognised brands VISY* | Being sold via a national Expressions of Interest campaign, closing Thursday, 2nd April 2020 at 4pm, the offering provides the opportunity to acquire a significant land rich investment on a triple net basis. | Key Investment Highlights include: | - Strategic opportunity for an astute investor to position themselves within the dynamic Sydney industrial market | - Passing net income of $1,000,000 p.a. with a triple net lease providing a strong annual rental return | - Long WALE of 7.40 years to globally recognized tenant covenant in VISY, which is guaranteed by Pratt Holdings | - Significant scale, something that has been extremely rare in the Sydney industrial market in recent years | - The tenant has spent significant capital ($10 million approx.) upgrading the building and further embedding them to the asset | - Excellent location offering access to major arterial motorways including the M4 and surrounding amenity | - Penrith is an established industrial market earmarked for strong rental and capital growth prospects in the future | - Significant Government infrastructure spend of $133 billion over the next 4 years driving the Sydney industrial market | - Opportunity to add value to the asset through future development given the low 21% site coverage | View more","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2016139746,"8,956 m²",Ask Agent,,On site parking available,,Ask Agent,Vacant," Factory, Warehouse & Industrial",9-Mar-20,"https://res-3.cloudinary.com/cre/image/fetch/h_420,f_auto,c_fill,q_auto,d_placeholder_viubzx.png/https%3A%2F%2Fcre.domainstatic.com.au%2F2016139746_1_1_200308_101007-w1920-h1280 | https://res-3.cloudinary.com/cre/image/fetch/h_420,f_auto,c_fill,q_auto,d_placeholder_viubzx.png/https%3A%2F%2Fcre.domainstatic.com.au%2F2016139746_2_1_200308_101007-w1920-h1279 | https://res-3.cloudinary.com/cre/image/fetch/h_420,f_auto,c_fill,q_auto,d_placeholder_viubzx.png/https%3A%2F%2Fcre.domainstatic.com.au%2F2016139746_3_1_200308_101007-w1920-h1280 | ",[Roger Miller : +61 400 044 011 : https://www.commercialrealestate.com.au/real-estate-agents/jll---sydney-19643] | [Tony Iuliano : +61 412 992 830 : https://www.commercialrealestate.com.au/real-estate-agents/jll---sydney-19643] | [Gavin Bishop : +61 401 146 051 : null] | [ : 0418 943 452 : null] | ,,,,,,,,,,
https://www.commercialrealestate.com.au/property/6-mccabe-place-chatswood-nsw-2067-2016233759,6 McCabe Place Chatswood NSW 2067,Offices,"1,286 m²",Expressions of Interest,"Occupy or reposition for future growth | Open floor plates + 16 secure car spaces | Site Area – 1,239 sqm* & NLA – 1,286 sqm | Cushman & Wakefield are pleased to present 6 McCabe Place, Chatswood to the market For Sale via Expressions of Interest. Our vendor instructs to sell! | 6 McCabe Place presents the perfect opportunity for occupiers or investors to secure a highly sought after Industrial/Commercial freehold property located within one of Sydneys most tightly held precincts. | 6 McCabe Place, Chatswood benefits from the following key attributes: | Land Area - 1,239 sqm* NLA - 1,286 sqm* | Short term leases, accommodating owner occupiers and investors | Large open floorplates with internal offices on both levels | Loading dock access & facilities | Secure basement parking for 16 vehicles + 5 spaces at the rear of the property | Zoned IN2 Light industrial | Located minutes drive from Chatswood CBD & 9 km* north of Sydney CBD | *Approx. |  |  |  |  | View more","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2016233759,"1,286 m²","1,239 m²",Ask Agent,16 x Onsite parkings,Whole building,Ask Agent,Tenanted," Offices Factory, Warehouse & Industrial Showrooms / Bulky Goods",26-May-20,"https://res-3.cloudinary.com/cre/image/fetch/h_420,f_auto,c_fill,q_auto,d_placeholder_viubzx.png/https%3A%2F%2Fcre.domainstatic.com.au%2F2016233759_1_1_200513_024950-w800-h565 | https://res-3.cloudinary.com/cre/image/fetch/h_420,f_auto,c_fill,q_auto,d_placeholder_viubzx.png/https%3A%2F%2Fcre.domainstatic.com.au%2F2016233759_2_1_200428_062603-w800-h533 | https://res-3.cloudinary.com/cre/image/fetch/h_420,f_auto,c_fill,q_auto,d_placeholder_viubzx.png/https%3A%2F%2Fcre.domainstatic.com.au%2F2016233759_3_1_200428_062603-w800-h533 | https://res-3.cloudinary.com/cre/image/fetch/h_420,f_auto,c_fill,q_auto,d_placeholder_viubzx.png/https%3A%2F%2Fcre.domainstatic.com.au%2F2016233759_4_1_200428_062603-w800-h533 | https://res-3.cloudinary.com/cre/image/fetch/h_420,f_auto,c_fill,q_auto,d_placeholder_viubzx.png/https%3A%2F%2Fcre.domainstatic.com.au%2F2016233759_5_1_200428_062603-w800-h533 | ",[Ryan Cross : 0402 147 124 : https://www.commercialrealestate.com.au/real-estate-agents/cushman-wakefield-sydney-11437] | [Anthony Bray : 0419 322 233 : https://www.commercialrealestate.com.au/real-estate-agents/cushman-wakefield-sydney-11437] | ,,,,,,,,,,
https://www.commercialrealestate.com.au/property/104-queens-road-five-dock-nsw-2046-2016155879,104 Queens Road Five Dock NSW 2046,"Factory, Warehouse & Industrial",210 m²,"For Sale, Please contact agent","Undersupplied market | 6m* high clearance | Sold with vacant possession | On behalf of Alan Walker and Andre Lakomy of Cor Cordis in their capacity as Receivers, Colliers International are excited to offer 104 Queens Road via Private Treaty. | Key property highlights include: | - Elevated, regular shaped allotment | - Functional open plan high clearance warehouse accessed via a roller shutter door | - Ground floor reception and first floor amenities | - Front yard permitting parking and/or loading and unloading | - IN1 General Industrial zoning with available floor space (STCA) subject to the 1:1 floor space ratio | - Located in an emerging location earmarked for substantial growth | - Excellent connectivity to greater Sydney via major arterial roads in close proximity including Parramatta Road, Homebush Bay Drive and the M4 | View more","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2016155879,210 m²,354 m²,,On site parking available,Whole building,Ask Agent,Vacant," Factory, Warehouse & Industrial Offices Showrooms / Bulky Goods",16-Apr-20,"https://res-3.cloudinary.com/cre/image/fetch/h_420,f_auto,c_fill,q_auto,d_placeholder_viubzx.png/https%3A%2F%2Fcre.domainstatic.com.au%2F2016155879_1_1_200313_063505-w1600-h1069 | https://res-3.cloudinary.com/cre/image/fetch/h_420,f_auto,c_fill,q_auto,d_placeholder_viubzx.png/https%3A%2F%2Fcre.domainstatic.com.au%2F2016155879_2_1_200313_063505-w1600-h1056 | https://res-3.cloudinary.com/cre/image/fetch/h_420,f_auto,c_fill,q_auto,d_placeholder_viubzx.png/https%3A%2F%2Fcre.domainstatic.com.au%2F2016155879_3_1_200313_063505-w1600-h1066 | https://res-3.cloudinary.com/cre/image/fetch/h_420,f_auto,c_fill,q_auto,d_placeholder_viubzx.png/https%3A%2F%2Fcre.domainstatic.com.au%2F2016155879_4_1_200313_063505-w1600-h1067 | https://res-3.cloudinary.com/cre/image/fetch/h_420,f_auto,c_fill,q_auto,d_placeholder_viubzx.png/https%3A%2F%2Fcre.domainstatic.com.au%2F2016155879_5_1_200313_063505-w1600-h1067 | ",[James Cowan : +61 425 337 691 : https://www.commercialrealestate.com.au/real-estate-agents/colliers-international---sydney-20529] | [Matthew Meynell : +61 413 988 878 : https://www.commercialrealestate.com.au/real-estate-agents/colliers-international---sydney-20529] | ,,,,,,,,,,
https://www.commercialrealestate.com.au/property/1-2-273-283-annangrove-road-rouse-hill-nsw-2155-2016077095,1 & 2/273-283 Annangrove Road Rouse Hill NSW 2155,Development / Land,2.34 - 4.71 ha,"For Sale, Lot 1 $13,000,000 Lot 2 $12,888,000","The property represents an excellent opportunity to acquire a substantial block of industrial land zoned B6- Enterprise Corridor. | The site will appeal to owner occupiers looking for an opportunity to build a facility to suit their business needs, as well as developers and investors, looking for a strategically located site to attract other quality tenants. | Located just 4km from Rouse Hill and Tallawong Metro stations with Rouse Hill Town Centre just a 4 minute drive away offering access to the T-Way. | The subject property is being subdivided into 5 unserviced lots of which Lots 1 & 2 are being offered in Stage 1. | Lot 1 : 23,700 sq.m (2.37 ha) | $13,000,000 |  | View more","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2016077095,"23,400 - 47,100 m²",2.34 - 4.71 ha,,On site parking available,,Ask Agent,Vacant," Development / Land Factory, Warehouse & Industrial",14-Apr-20,"https://res-3.cloudinary.com/cre/image/fetch/h_420,f_auto,c_fill,q_auto,d_placeholder_viubzx.png/https%3A%2F%2Fcre.domainstatic.com.au%2F2016077095_1_1_200414_095219-w1241-h877 | https://res-3.cloudinary.com/cre/image/fetch/h_420,f_auto,c_fill,q_auto,d_placeholder_viubzx.png/https%3A%2F%2Fcre.domainstatic.com.au%2F2016077095_2_1_200414_095219-w1241-h877 | https://res-3.cloudinary.com/cre/image/fetch/h_420,f_auto,c_fill,q_auto,d_placeholder_viubzx.png/https%3A%2F%2Fcre.domainstatic.com.au%2F2016077095_3_1_200414_095219-w1241-h877 | ",[Domenic Sergi Snr : 0417229699 : https://www.commercialrealestate.com.au/real-estate-agents/wetherill-park-industrial-real-estate-8122] | [Paul Cutcliffe : 0414 878 858 : null] | ,,,,,,,,,,
https://www.commercialrealestate.com.au/property/160-gurner-avenue-austral-nsw-2179-2016282500,160 Gurner Avenue Austral NSW 2179,"Factory, Warehouse & Industrial","40,470 m²","For Sale, Please contact agent","IN2 – Light Industrial | Access to services & Road Infrastructure | 7km to the New Badgery’s Creek Airport | The property comprises a regular shaped and level lot of approximately 4 hectares. The site was recently re-zoned IN2- General industrial under the State Environmental Planning Policy (Sydney Region Growth Centres) 2006. | The lot is well located within 5.5km of the M7 Motorway on/off ramps at Cowpasture Road and sits approximately 6km North-West of the established Prestons Industrial precinct and approximately 10km West of the Liverpool CBD. | The site also benefits from planned services including power, water and sewer and also sits only 900 metres from the Kemps Creek Transgrid 500KV sub-station. | The site will also benefit from its close proximity to the Badgerys Creek airport (currently under construction) and the Leppington Train Station (5.8km). | View more","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2016282500,"40,470 m²",4.05 ha,,Ask Agent,,Ask Agent,Vacant," Factory, Warehouse & Industrial",28-May-20,"https://res-3.cloudinary.com/cre/image/fetch/h_420,f_auto,c_fill,q_auto,d_placeholder_viubzx.png/https%3A%2F%2Fcre.domainstatic.com.au%2F2016282500_1_1_200528_122855-w1600-h1131 | https://res-3.cloudinary.com/cre/image/fetch/h_420,f_auto,c_fill,q_auto,d_placeholder_viubzx.png/https%3A%2F%2Fcre.domainstatic.com.au%2F2016282500_2_1_200528_122855-w1600-h1131 | https://res-3.cloudinary.com/cre/image/fetch/h_420,f_auto,c_fill,q_auto,d_placeholder_viubzx.png/https%3A%2F%2Fcre.domainstatic.com.au%2F2016282500_3_1_200528_122855-w1600-h1131 | https://res-3.cloudinary.com/cre/image/fetch/h_420,f_auto,c_fill,q_auto,d_placeholder_viubzx.png/https%3A%2F%2Fcre.domainstatic.com.au%2F2016282500_4_1_200528_122855-w1600-h1131 | ",[David Hall : +61 428 242 410 : https://www.commercialrealestate.com.au/real-estate-agents/colliers-international-sydney-west-19837] | [Fab Dalfonso : 0412 549 766 : https://www.commercialrealestate.com.au/real-estate-agents/colliers-international-sydney-west-19837] | ,,,,,,,,,,
https://www.commercialrealestate.com.au/property/468-470-victoria-street-wetherill-park-nsw-2164-2016273875,468-470 Victoria Street Wetherill Park NSW 2164,"Factory, Warehouse & Industrial","3,444 m²","For Sale, Expressions of Interest","The property provides easy access to Victoria Street, The Horsley Drive and the M7 Motorways. | * Freestanding Warehouse/Office facility provides access via two (2) roller shutter doors. | * Warehouse offers internal clearances ranging from 6.3m up to 7m (approx). | * Office accommodation is situated over two levels being carpeted and air-conditioned with staff amenities | * The property benefits from a generous hardstand yard area providing good truck access and maneuverability | View more","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2016273875,"3,444 m²","5,054 m²",,On site parking available,,Ask Agent,Ask Agent," Factory, Warehouse & Industrial",27-May-20,"https://res-3.cloudinary.com/cre/image/fetch/h_420,f_auto,c_fill,q_auto,d_placeholder_viubzx.png/https%3A%2F%2Fcre.domainstatic.com.au%2F2016273875_1_1_200527_045514-w1920-h1440 | https://res-3.cloudinary.com/cre/image/fetch/h_420,f_auto,c_fill,q_auto,d_placeholder_viubzx.png/https%3A%2F%2Fcre.domainstatic.com.au%2F2016273875_2_1_200527_045655-w1920-h1440 | https://res-3.cloudinary.com/cre/image/fetch/h_420,f_auto,c_fill,q_auto,d_placeholder_viubzx.png/https%3A%2F%2Fcre.domainstatic.com.au%2F2016273875_3_1_200527_045655-w1920-h1440 | https://res-3.cloudinary.com/cre/image/fetch/h_420,f_auto,c_fill,q_auto,d_placeholder_viubzx.png/https%3A%2F%2Fcre.domainstatic.com.au%2F2016273875_4_1_200527_045655-w1920-h1440 | https://res-3.cloudinary.com/cre/image/fetch/h_420,f_auto,c_fill,q_auto,d_placeholder_viubzx.png/https%3A%2F%2Fcre.domainstatic.com.au%2F2016273875_5_1_200527_045655-w1920-h1440 | ",[Marcel Elias : 0488 884 411 : https://www.commercialrealestate.com.au/real-estate-agents/lj-hooker-commercial-silverwater-19709] | ,,,,,,,,,,
https://www.commercialrealestate.com.au/property/43-47-lincoln-street-minto-nsw-2566-2016272666,43-47 Lincoln Street Minto NSW 2566,"Factory, Warehouse & Industrial","2,652 m²","For Sale, Please contact agent","Functional 2,652m² warehouse | Site area 9,708m² | 4 roller doors | Current Net Income of $358,020 per annum | Strong lease covenant to Supaloc, a division of large multinational company | Lease expiry 22 March 2030 | Functional 2,652m²* warehouse with 4 roller doors | Site area 9,708m²* | 80.47 metre dual street frontage | Large concrete yard area | Zoned IN1 General Industrial | Located 500 metres from Minto Railway Station | 1.5km to Macarthur Intermodal | 2.5km to M5 Motorway entry/exit | 7.5km to M5/M7 Motorway Interchange | View more","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2016272666,"2,652 m²","9,708 m²",,Ask Agent,,Ask Agent,Vacant," Factory, Warehouse & Industrial",28-May-20,"https://res-3.cloudinary.com/cre/image/fetch/h_420,f_auto,c_fill,q_auto,d_placeholder_viubzx.png/https%3A%2F%2Fcre.domainstatic.com.au%2F2016272666_1_1_200521_062856-w1600-h1066 | https://res-3.cloudinary.com/cre/image/fetch/h_420,f_auto,c_fill,q_auto,d_placeholder_viubzx.png/https%3A%2F%2Fcre.domainstatic.com.au%2F2016272666_2_1_200521_062856-w1600-h1067 | https://res-3.cloudinary.com/cre/image/fetch/h_420,f_auto,c_fill,q_auto,d_placeholder_viubzx.png/https%3A%2F%2Fcre.domainstatic.com.au%2F2016272666_3_1_200521_062856-w1600-h1067 | https://res-3.cloudinary.com/cre/image/fetch/h_420,f_auto,c_fill,q_auto,d_placeholder_viubzx.png/https%3A%2F%2Fcre.domainstatic.com.au%2F2016272666_4_1_200521_062856-w1600-h1067 | https://res-3.cloudinary.com/cre/image/fetch/h_420,f_auto,c_fill,q_auto,d_placeholder_viubzx.png/https%3A%2F%2Fcre.domainstatic.com.au%2F2016272666_5_1_200521_062856-w1600-h1067 | ",[Adrian Balderston : +61 407 506 010 : https://www.commercialrealestate.com.au/real-estate-agents/colliers-international-sydney-south-west-19820] | [Sean Thomson : 02 9257 0222 : null] | ,,,,,,,,,,
https://www.commercialrealestate.com.au/property/17-jumal-place-smithfield-nsw-2164-2016255696,17 Jumal Place Smithfield NSW 2164,"Factory, Warehouse & Industrial","13,444 m²","For Sale, Please contact agent","Freestanding building on large site | Close proximity to M4 and Cumberland Hwy | Suitable for Owner occupiers or Investor | Colliers International is pleased to offer for sale this substantial industrial opportunity in one of Sydneys most established industrial precincts. For Sale by Expressions of Interest closing Thursday 18th June 2020 at 4:00pm (AEST). | Features for 17 Jumal Place, Smithfield include the following; | - Total site area of 28,900sqm* | - 13,444sqm* of building area | - High clearance warehousing providing a mix of raised docks and ground level access | - Large power supply | - Warehouse access on three sides of the facility | - Large hardstand area | - Corporate office space over two levels | View more","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2016255696,"13,444 m²",2.89 ha,,Ask Agent,,Ask Agent,Vacant," Factory, Warehouse & Industrial",12-May-20,"https://res-3.cloudinary.com/cre/image/fetch/h_420,f_auto,c_fill,q_auto,d_placeholder_viubzx.png/https%3A%2F%2Fcre.domainstatic.com.au%2F2016255696_1_1_200512_040303-w1600-h1066 | https://res-3.cloudinary.com/cre/image/fetch/h_420,f_auto,c_fill,q_auto,d_placeholder_viubzx.png/https%3A%2F%2Fcre.domainstatic.com.au%2F2016255696_2_1_200512_040303-w1600-h1067 | https://res-3.cloudinary.com/cre/image/fetch/h_420,f_auto,c_fill,q_auto,d_placeholder_viubzx.png/https%3A%2F%2Fcre.domainstatic.com.au%2F2016255696_3_1_200512_040303-w1600-h1067 | https://res-3.cloudinary.com/cre/image/fetch/h_420,f_auto,c_fill,q_auto,d_placeholder_viubzx.png/https%3A%2F%2Fcre.domainstatic.com.au%2F2016255696_4_1_200512_040303-w1600-h1067 | https://res-3.cloudinary.com/cre/image/fetch/h_420,f_auto,c_fill,q_auto,d_placeholder_viubzx.png/https%3A%2F%2Fcre.domainstatic.com.au%2F2016255696_5_1_200512_040303-w1600-h1067 | ",[Ryan Carey : +61 433 822 815 : https://www.commercialrealestate.com.au/real-estate-agents/colliers-international-sydney-west-19837] | [Peter Dale : +61 412 434738 : https://www.commercialrealestate.com.au/real-estate-agents/colliers-international-sydney-west-19837] | ,,,,,,,,,,
https://www.commercialrealestate.com.au/property/10-roussell-road-eastern-creek-nsw-2766-2016234968,10 Roussell Road Eastern Creek NSW 2766,"Factory, Warehouse & Industrial","3,400 m²",Expressions of Interest,Strong Investment Opportunity | Excellent Location | Clearspan Warehouse with 10m clearance* | Wetherill Park Industrial Real Estate are delighted to present this modern freestanding facility totalling 3400sqm* situated on a total site area of 5313sqm*. | This property represents an excellent opportunity to acquire a high quality industrial facility strategically located in one of Western Sydney's leading industrial precincts. | Key Property Features: | - Clearspan warehouse with an internal clearance of 10 metres* | - Access via two (2) on grade container height roller shutter doors | - Two (2) 100sqm* awnings enabling all weather loading/unloading | View more,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2016234968,"3,400 m²",Ask Agent,,39 x Onsite parkings,,Ask Agent,Tenanted," Factory, Warehouse & Industrial",7-May-20,"https://res-3.cloudinary.com/cre/image/fetch/h_420,f_auto,c_fill,q_auto,d_placeholder_viubzx.png/https%3A%2F%2Fcre.domainstatic.com.au%2F2016234968_1_1_200506_051458-w798-h600 | https://res-3.cloudinary.com/cre/image/fetch/h_420,f_auto,c_fill,q_auto,d_placeholder_viubzx.png/https%3A%2F%2Fcre.domainstatic.com.au%2F2016234968_2_1_200506_051458-w709-h533 | https://res-3.cloudinary.com/cre/image/fetch/h_420,f_auto,c_fill,q_auto,d_placeholder_viubzx.png/https%3A%2F%2Fcre.domainstatic.com.au%2F2016234968_3_1_200506_051458-w709-h533 | https://res-3.cloudinary.com/cre/image/fetch/h_420,f_auto,c_fill,q_auto,d_placeholder_viubzx.png/https%3A%2F%2Fcre.domainstatic.com.au%2F2016234968_4_1_200429_034316-w800-h533 | https://res-3.cloudinary.com/cre/image/fetch/h_420,f_auto,c_fill,q_auto,d_placeholder_viubzx.png/https%3A%2F%2Fcre.domainstatic.com.au%2F2016234968_5_1_200429_034316-w800-h533 | ",[Domenic Sergi (JNR) : 0401 219 872 : https://www.commercialrealestate.com.au/real-estate-agents/wetherill-park-industrial-real-estate-8122] | ,,,,,,,,,,
